Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
56,Travel_Rarely,566,Human Resources,23,3,Other,1,1,3,Female,53,3,5,Research Scientist,2,Single,3732,25333,1,Y,Yes,22,4,1,80,3,16,1,2,7,2,0,0,Yes
44,Travel_Rarely,799,Sales,16,3,Human Resources,1,2,4,Female,84,4,1,Human Resources,3,Single,6359,5556,2,Y,Yes,17,4,1,80,2,15,1,4,4,1,4,2,Yes
26,Non-Travel,305,Sales,17,4,Life Sciences,1,3,2,Male,33,2,2,Human Resources,4,Divorced,7256,9989,1,Y,No,20,4,2,80,1,6,5,4,4,4,1,4,Yes
25,Travel_Rarely,395,Human Resources,21,5,Medical,1,4,2,Female,82,4,2,Healthcare Representative,1,Married,2834,23243,8,Y,No,23,4,1,80,0,17,6,1,4,2,2,0,Yes
41,Travel_Rarely,140,Research & Development,28,1,Technical Degree,1,5,4,Male,41,2,1,Research Scientist,4,Married,7826,4454,7,Y,No,15,3,4,80,3,13,5,3,4,4,1,1,No
31,Non-Travel,866,Sales,14,3,Life Sciences,1,6,1,Female,44,2,2,Research Director,4,Single,6897,19868,2,Y,No,25,3,4,80,0,14,3,2,8,3,0,2,No
32,Non-Travel,677,Human Resources,10,5,Medical,1,7,2,Male,86,1,4,Manager,4,Single,3312,15931,3,Y,Yes,24,3,4,80,1,6,6,4,1,1,0,1,No
18,Travel_Rarely,1072,Sales,9,3,Technical Degree,1,8,3,Female,99,4,3,Manufacturing Director,1,Married,7128,22797,4,Y,No,11,3,2,80,3,5,6,3,2,2,0,2,Yes
58,Non-Travel,1236,Research & Development,5,1,Marketing,1,9,4,Male,88,1,2,Manufacturing Director,2,Divorced,3528,16555,5,Y,Yes,17,4,4,80,0,8,0,3,2,1,2,2,No
43,Travel_Frequently,302,Sales,24,3,Technical Degree,1,10,1,Female,67,4,5,Laboratory Technician,4,Divorced,4567,9777,5,Y,Yes,16,3,3,80,3,20,0,1,17,1,0,0,No
46,Travel_Rarely,246,Sales,20,4,Marketing,1,11,1,Female,62,4,2,Manufacturing Director,4,Married,3990,6736,8,Y,Yes,19,3,3,80,2,15,5,2,1,1,0,1,Yes
